formula,formulaA,formulaB,stable
Xe0.7 Sm0.3,Xe,Sm,0
Bi0.7 Sm0.3,Bi,Sm,0
Nd0.7 Sm0.3,Nd,Sm,0
Te0.7 Sm0.3,Te,Sm,0
Gd0.7 Sm0.3,Gd,Sm,0
Y0.7 Sm0.3,Y,Sm,0
Er0.7 Sm0.3,Er,Sm,0
Sb0.7 Sm0.3,Sb,Sm,0
Tm0.7 Sm0.3,Tm,Sm,0
Lu0.7 Sm0.3,Lu,Sm,0
Tl0.7 Sm0.3,Tl,Sm,1
Sn0.7 Sm0.3,Sn,Sm,0
As0.7 Sm0.3,As,Sm,0
Li0.7 Sm0.3,Li,Sm,0
Si0.7 Sm0.3,Si,Sm,0
Np0.7 Sm0.3,Np,Sm,0
Nb0.7 Sm0.3,Nb,Sm,0
Ag0.7 Sm0.3,Ag,Sm,0
Mo0.7 Sm0.3,Mo,Sm,0
Pd0.7 Sm0.3,Pd,Sm,0
Mn0.7 Sm0.3,Mn,Sm,0
Cu0.7 Sm0.3,Cu,Sm,0
Fe0.7 Sm0.3,Fe,Sm,0
Co0.7 Sm0.3,Co,Sm,1
Ni0.7 Sm0.3,Ni,Sm,0
Be0.7 Sm0.3,Be,Sm,0
K0.7 Te0.3,K,Te,0
Sr0.7 Te0.3,Sr,Te,0
Eu0.7 Te0.3,Eu,Te,0
Yb0.7 Te0.3,Yb,Te,0
La0.7 Te0.3,La,Te,1
Ar0.7 Te0.3,Ar,Te,0
Pr0.7 Te0.3,Pr,Te,1
Ce0.7 Te0.3,Ce,Te,1
Pm0.7 Te0.3,Pm,Te,0
Gd0.7 Te0.3,Gd,Te,0
Th0.7 Te0.3,Th,Te,0
Ho0.7 Te0.3,Ho,Te,0
Tl0.7 Te0.3,Tl,Te,0
P0.7 Te0.3,P,Te,0
S0.7 Te0.3,S,Te,0
Sn0.7 Te0.3,Sn,Te,0
Sc0.7 Te0.3,Sc,Te,0
Pa0.7 Te0.3,Pa,Te,1
Zr0.7 Te0.3,Zr,Te,1
Mg0.7 Te0.3,Mg,Te,0
Ge0.7 Te0.3,Ge,Te,0
Cd0.7 Te0.3,Cd,Te,0
Li0.7 Te0.3,Li,Te,0
U0.7 Te0.3,U,Te,1
Si0.7 Te0.3,Si,Te,0
Ga0.7 Te0.3,Ga,Te,1
Ta0.7 Te0.3,Ta,Te,1
Ag0.7 Te0.3,Ag,Te,0
Au0.7 Te0.3,Au,Te,1
W0.7 Te0.3,W,Te,1
Mo0.7 Te0.3,Mo,Te,1
Zn0.7 Te0.3,Zn,Te,0
Pd0.7 Te0.3,Pd,Te,1
Tc0.7 Te0.3,Tc,Te,0
Ir0.7 Te0.3,Ir,Te,1
V0.7 Te0.3,V,Te,1
Mn0.7 Te0.3,Mn,Te,1
Cu0.7 Te0.3,Cu,Te,0
Fe0.7 Te0.3,Fe,Te,1
Co0.7 Te0.3,Co,Te,1
B0.7 Te0.3,B,Te,0
Rb0.7 Pm0.3,Rb,Pm,0
Ba0.7 Pm0.3,Ba,Pm,0
I0.7 Pm0.3,I,Pm,0
Br0.7 Pm0.3,Br,Pm,0
Ac0.7 Pm0.3,Ac,Pm,0
Pr0.7 Pm0.3,Pr,Pm,0
Th0.7 Pm0.3,Th,Pm,0
Pb0.7 Pm0.3,Pb,Pm,1
P0.7 Pm0.3,P,Pm,0
Se0.7 Pm0.3,Se,Pm,0
S0.7 Pm0.3,S,Pm,0
Pa0.7 Pm0.3,Pa,Pm,0
Hg0.7 Pm0.3,Hg,Pm,0
As0.7 Pm0.3,As,Pm,0
Cd0.7 Pm0.3,Cd,Pm,0
U0.7 Pm0.3,U,Pm,0
Si0.7 Pm0.3,Si,Pm,1
Al0.7 Pm0.3,Al,Pm,0
Mo0.7 Pm0.3,Mo,Pm,0
Pt0.7 Pm0.3,Pt,Pm,0
Re0.7 Pm0.3,Re,Pm,0
Pd0.7 Pm0.3,Pd,Pm,0
Tc0.7 Pm0.3,Tc,Pm,0
Os0.7 Pm0.3,Os,Pm,0
Rh0.7 Pm0.3,Rh,Pm,0
Cu0.7 Pm0.3,Cu,Pm,0
Be0.7 Pm0.3,Be,Pm,0
K0.7 Gd0.3,K,Gd,0
Ba0.7 Gd0.3,Ba,Gd,0
Br0.7 Gd0.3,Br,Gd,0
Na0.7 Gd0.3,Na,Gd,0
Ar0.7 Gd0.3,Ar,Gd,0
Pr0.7 Gd0.3,Pr,Gd,0
Y0.7 Gd0.3,Y,Gd,0
Tb0.7 Gd0.3,Tb,Gd,0
Ho0.7 Gd0.3,Ho,Gd,0
Er0.7 Gd0.3,Er,Gd,0
Tm0.7 Gd0.3,Tm,Gd,0
Tl0.7 Gd0.3,Tl,Gd,1
P0.7 Gd0.3,P,Gd,0
In0.7 Gd0.3,In,Gd,1
Sc0.7 Gd0.3,Sc,Gd,0
Pa0.7 Gd0.3,Pa,Gd,0
Hg0.7 Gd0.3,Hg,Gd,0
Cd0.7 Gd0.3,Cd,Gd,0
U0.7 Gd0.3,U,Gd,0
Si0.7 Gd0.3,Si,Gd,0
Ga0.7 Gd0.3,Ga,Gd,0
Nb0.7 Gd0.3,Nb,Gd,0
Ti0.7 Gd0.3,Ti,Gd,0
Ag0.7 Gd0.3,Ag,Gd,0
Au0.7 Gd0.3,Au,Gd,0
W0.7 Gd0.3,W,Gd,0
Pt0.7 Gd0.3,Pt,Gd,0
Tc0.7 Gd0.3,Tc,Gd,0
Ir0.7 Gd0.3,Ir,Gd,0
Ru0.7 Gd0.3,Ru,Gd,0
Be0.7 Gd0.3,Be,Gd,0
B0.7 Gd0.3,B,Gd,0
Rb0.7 Y0.3,Rb,Y,0
K0.7 Y0.3,K,Y,0
Ba0.7 Y0.3,Ba,Y,0
Eu0.7 Y0.3,Eu,Y,0
I0.7 Y0.3,I,Y,0
Br0.7 Y0.3,Br,Y,0
Na0.7 Y0.3,Na,Y,0
Ac0.7 Y0.3,Ac,Y,0
Pr0.7 Y0.3,Pr,Y,0
Th0.7 Y0.3,Th,Y,0
Tb0.7 Y0.3,Tb,Y,0
Dy0.7 Y0.3,Dy,Y,0
Er0.7 Y0.3,Er,Y,0
Pb0.7 Y0.3,Pb,Y,0
Lu0.7 Y0.3,Lu,Y,0
Tl0.7 Y0.3,Tl,Y,0
P0.7 Y0.3,P,Y,0
Mg0.7 Y0.3,Mg,Y,1
Ge0.7 Y0.3,Ge,Y,0
Si0.7 Y0.3,Si,Y,0
Ga0.7 Y0.3,Ga,Y,0
Np0.7 Y0.3,Np,Y,0
Ti0.7 Y0.3,Ti,Y,0
Ag0.7 Y0.3,Ag,Y,0
Mo0.7 Y0.3,Mo,Y,0
Pd0.7 Y0.3,Pd,Y,0
Tc0.7 Y0.3,Tc,Y,0
Cr0.7 Y0.3,Cr,Y,0
B0.7 Y0.3,B,Y,0
He0.7 Th0.3,He,Th,0
Kr0.7 Th0.3,Kr,Th,0
Cs0.7 Th0.3,Cs,Th,0
Rb0.7 Th0.3,Rb,Th,0
K0.7 Th0.3,K,Th,0
Ba0.7 Th0.3,Ba,Th,0
Eu0.7 Th0.3,Eu,Th,0
Yb0.7 Th0.3,Yb,Th,0
Ca0.7 Th0.3,Ca,Th,0
I0.7 Th0.3,I,Th,0
Br0.7 Th0.3,Br,Th,0
Na0.7 Th0.3,Na,Th,0
Ar0.7 Th0.3,Ar,Th,0
Bi0.7 Th0.3,Bi,Th,0
Gd0.7 Th0.3,Gd,Th,0
Tb0.7 Th0.3,Tb,Th,0
Ho0.7 Th0.3,Ho,Th,0
Er0.7 Th0.3,Er,Th,0
Sb0.7 Th0.3,Sb,Th,0
Tm0.7 Th0.3,Tm,Th,0
Se0.7 Th0.3,Se,Th,0
S0.7 Th0.3,S,Th,0
Sc0.7 Th0.3,Sc,Th,0
Pa0.7 Th0.3,Pa,Th,0
Zr0.7 Th0.3,Zr,Th,0
Mg0.7 Th0.3,Mg,Th,0
As0.7 Th0.3,As,Th,0
Cd0.7 Th0.3,Cd,Th,0
Li0.7 Th0.3,Li,Th,0
U0.7 Th0.3,U,Th,0
Ga0.7 Th0.3,Ga,Th,1
Np0.7 Th0.3,Np,Th,0
Ta0.7 Th0.3,Ta,Th,0
Nb0.7 Th0.3,Nb,Th,0
W0.7 Th0.3,W,Th,0
Mo0.7 Th0.3,Mo,Th,0
Pt0.7 Th0.3,Pt,Th,1
Zn0.7 Th0.3,Zn,Th,1
Re0.7 Th0.3,Re,Th,0
Tc0.7 Th0.3,Tc,Th,0
Ir0.7 Th0.3,Ir,Th,1
Mn0.7 Th0.3,Mn,Th,0
C0.7 Th0.3,C,Th,0
Be0.7 Th0.3,Be,Th,0
Ne0.7 Tb0.3,Ne,Tb,0
Kr0.7 Tb0.3,Kr,Tb,0
K0.7 Tb0.3,K,Tb,0
Ba0.7 Tb0.3,Ba,Tb,0
Ac0.7 Tb0.3,Ac,Tb,0
Xe0.7 Tb0.3,Xe,Tb,0
Bi0.7 Tb0.3,Bi,Tb,0
Pr0.7 Tb0.3,Pr,Tb,0
Pm0.7 Tb0.3,Pm,Tb,0
Er0.7 Tb0.3,Er,Tb,0
Pb0.7 Tb0.3,Pb,Tb,0
P0.7 Tb0.3,P,Tb,0
Se0.7 Tb0.3,Se,Tb,0
In0.7 Tb0.3,In,Tb,1
Sc0.7 Tb0.3,Sc,Tb,0
Zr0.7 Tb0.3,Zr,Tb,0
Ge0.7 Tb0.3,Ge,Tb,0
Cd0.7 Tb0.3,Cd,Tb,0
Ti0.7 Tb0.3,Ti,Tb,0
Ag0.7 Tb0.3,Ag,Tb,0
Al0.7 Tb0.3,Al,Tb,0
W0.7 Tb0.3,W,Tb,0
Mo0.7 Tb0.3,Mo,Tb,0
Re0.7 Tb0.3,Re,Tb,0
Tc0.7 Tb0.3,Tc,Tb,0
Cr0.7 Tb0.3,Cr,Tb,0
Cu0.7 Tb0.3,Cu,Tb,0
C0.7 Tb0.3,C,Tb,1
Cs0.7 Dy0.3,Cs,Dy,0
K0.7 Dy0.3,K,Dy,0
Ba0.7 Dy0.3,Ba,Dy,0
Sr0.7 Dy0.3,Sr,Dy,0
Eu0.7 Dy0.3,Eu,Dy,0
Yb0.7 Dy0.3,Yb,Dy,0
Br0.7 Dy0.3,Br,Dy,0
Nd0.7 Dy0.3,Nd,Dy,0
Sm0.7 Dy0.3,Sm,Dy,0
Te0.7 Dy0.3,Te,Dy,1
Pm0.7 Dy0.3,Pm,Dy,0
Gd0.7 Dy0.3,Gd,Dy,0
Tb0.7 Dy0.3,Tb,Dy,0
Sb0.7 Dy0.3,Sb,Dy,0
Lu0.7 Dy0.3,Lu,Dy,0
Tl0.7 Dy0.3,Tl,Dy,1
P0.7 Dy0.3,P,Dy,0
S0.7 Dy0.3,S,Dy,0
Ge0.7 Dy0.3,Ge,Dy,0
Cd0.7 Dy0.3,Cd,Dy,0
Np0.7 Dy0.3,Np,Dy,0
Ta0.7 Dy0.3,Ta,Dy,0
Ti0.7 Dy0.3,Ti,Dy,0
Al0.7 Dy0.3,Al,Dy,0
W0.7 Dy0.3,W,Dy,0
Pt0.7 Dy0.3,Pt,Dy,0
Zn0.7 Dy0.3,Zn,Dy,0
Ir0.7 Dy0.3,Ir,Dy,0
Os0.7 Dy0.3,Os,Dy,0
V0.7 Dy0.3,V,Dy,0
Cu0.7 Dy0.3,Cu,Dy,0
Fe0.7 Dy0.3,Fe,Dy,0
Ni0.7 Dy0.3,Ni,Dy,0
C0.7 Dy0.3,C,Dy,1
Be0.7 Dy0.3,Be,Dy,0
He0.7 Ho0.3,He,Ho,0
Ne0.7 Ho0.3,Ne,Ho,0
Rb0.7 Ho0.3,Rb,Ho,0
Ba0.7 Ho0.3,Ba,Ho,0
Eu0.7 Ho0.3,Eu,Ho,0
Ca0.7 Ho0.3,Ca,Ho,0
I0.7 Ho0.3,I,Ho,0
Na0.7 Ho0.3,Na,Ho,0
La0.7 Ho0.3,La,Ho,0
Xe0.7 Ho0.3,Xe,Ho,0
Bi0.7 Ho0.3,Bi,Ho,0
Ce0.7 Ho0.3,Ce,Ho,0
Sm0.7 Ho0.3,Sm,Ho,0
Pm0.7 Ho0.3,Pm,Ho,0
Tb0.7 Ho0.3,Tb,Ho,0
Er0.7 Ho0.3,Er,Ho,0
Pb0.7 Ho0.3,Pb,Ho,0
Tm0.7 Ho0.3,Tm,Ho,0
Tl0.7 Ho0.3,Tl,Ho,0
P0.7 Ho0.3,P,Ho,0
Se0.7 Ho0.3,Se,Ho,0
S0.7 Ho0.3,S,Ho,0
Sn0.7 Ho0.3,Sn,Ho,0
Zr0.7 Ho0.3,Zr,Ho,0
Mg0.7 Ho0.3,Mg,Ho,1
Ge0.7 Ho0.3,Ge,Ho,0
As0.7 Ho0.3,As,Ho,0
Ga0.7 Ho0.3,Ga,Ho,0
Ta0.7 Ho0.3,Ta,Ho,0
Nb0.7 Ho0.3,Nb,Ho,0
Au0.7 Ho0.3,Au,Ho,1
Zn0.7 Ho0.3,Zn,Ho,0
Re0.7 Ho0.3,Re,Ho,0
Tc0.7 Ho0.3,Tc,Ho,0
Os0.7 Ho0.3,Os,Ho,0
Rh0.7 Ho0.3,Rh,Ho,0
Mn0.7 Ho0.3,Mn,Ho,0
Cr0.7 Ho0.3,Cr,Ho,0
C0.7 Ho0.3,C,Ho,1
Be0.7 Ho0.3,Be,Ho,0
He0.7 Er0.3,He,Er,0
Rb0.7 Er0.3,Rb,Er,0
Sr0.7 Er0.3,Sr,Er,0
Pr0.7 Er0.3,Pr,Er,0
Pm0.7 Er0.3,Pm,Er,0
Dy0.7 Er0.3,Dy,Er,0
Sb0.7 Er0.3,Sb,Er,0
Tm0.7 Er0.3,Tm,Er,0
Lu0.7 Er0.3,Lu,Er,0
S0.7 Er0.3,S,Er,0
Sn0.7 Er0.3,Sn,Er,0
As0.7 Er0.3,As,Er,0
Cd0.7 Er0.3,Cd,Er,0
U0.7 Er0.3,U,Er,0
Nb0.7 Er0.3,Nb,Er,0
Ag0.7 Er0.3,Ag,Er,0
Au0.7 Er0.3,Au,Er,0
W0.7 Er0.3,W,Er,0
Mo0.7 Er0.3,Mo,Er,0
Pt0.7 Er0.3,Pt,Er,1
Tc0.7 Er0.3,Tc,Er,0
Ir0.7 Er0.3,Ir,Er,0
V0.7 Er0.3,V,Er,0
Ru0.7 Er0.3,Ru,Er,0
Cr0.7 Er0.3,Cr,Er,0
Fe0.7 Er0.3,Fe,Er,0
C0.7 Er0.3,C,Er,0
Be0.7 Er0.3,Be,Er,0
Kr0.7 Pb0.3,Kr,Pb,0
Cs0.7 Pb0.3,Cs,Pb,1
Rb0.7 Pb0.3,Rb,Pb,1
K0.7 Pb0.3,K,Pb,1
Ca0.7 Pb0.3,Ca,Pb,1
I0.7 Pb0.3,I,Pb,0
Na0.7 Pb0.3,Na,Pb,1
Ar0.7 Pb0.3,Ar,Pb,0
Bi0.7 Pb0.3,Bi,Pb,0
Pr0.7 Pb0.3,Pr,Pb,1
Nd0.7 Pb0.3,Nd,Pb,1
Sm0.7 Pb0.3,Sm,Pb,1
Dy0.7 Pb0.3,Dy,Pb,1
Er0.7 Pb0.3,Er,Pb,1
Sb0.7 Pb0.3,Sb,Pb,0
Tm0.7 Pb0.3,Tm,Pb,1
Lu0.7 Pb0.3,Lu,Pb,1
P0.7 Pb0.3,P,Pb,0
S0.7 Pb0.3,S,Pb,0
Mg0.7 Pb0.3,Mg,Pb,0
Ge0.7 Pb0.3,Ge,Pb,0
As0.7 Pb0.3,As,Pb,0
Cd0.7 Pb0.3,Cd,Pb,0
Si0.7 Pb0.3,Si,Pb,0
Ga0.7 Pb0.3,Ga,Pb,0
Ag0.7 Pb0.3,Ag,Pb,0
Al0.7 Pb0.3,Al,Pb,0
W0.7 Pb0.3,W,Pb,0
Mo0.7 Pb0.3,Mo,Pb,0
Pt0.7 Pb0.3,Pt,Pb,1
Zn0.7 Pb0.3,Zn,Pb,0
Ir0.7 Pb0.3,Ir,Pb,0
Rh0.7 Pb0.3,Rh,Pb,1
Ru0.7 Pb0.3,Ru,Pb,0
Mn0.7 Pb0.3,Mn,Pb,0
Cr0.7 Pb0.3,Cr,Pb,0
Cu0.7 Pb0.3,Cu,Pb,0
Ni0.7 Pb0.3,Ni,Pb,0
B0.7 Pb0.3,B,Pb,0
He0.7 Sb0.3,He,Sb,0
K0.7 Sb0.3,K,Sb,1
Eu0.7 Sb0.3,Eu,Sb,1
La0.7 Sb0.3,La,Sb,0
Ac0.7 Sb0.3,Ac,Sb,0
Xe0.7 Sb0.3,Xe,Sb,0
Pm0.7 Sb0.3,Pm,Sb,0
Gd0.7 Sb0.3,Gd,Sb,0
Y0.7 Sb0.3,Y,Sb,0
Ho0.7 Sb0.3,Ho,Sb,0
Tl0.7 Sb0.3,Tl,Sb,0
Sn0.7 Sb0.3,Sn,Sb,0
In0.7 Sb0.3,In,Sb,0
Sc0.7 Sb0.3,Sc,Sb,0
Pa0.7 Sb0.3,Pa,Sb,0
Mg0.7 Sb0.3,Mg,Sb,0
Li0.7 Sb0.3,Li,Sb,0
Si0.7 Sb0.3,Si,Sb,0
Np0.7 Sb0.3,Np,Sb,1
Ta0.7 Sb0.3,Ta,Sb,1
Ti0.7 Sb0.3,Ti,Sb,1
Ag0.7 Sb0.3,Ag,Sb,0
Au0.7 Sb0.3,Au,Sb,1
Re0.7 Sb0.3,Re,Sb,0
Os0.7 Sb0.3,Os,Sb,1
Rh0.7 Sb0.3,Rh,Sb,1
Mn0.7 Sb0.3,Mn,Sb,0
Cu0.7 Sb0.3,Cu,Sb,0
Fe0.7 Sb0.3,Fe,Sb,1
Be0.7 Sb0.3,Be,Sb,0
B0.7 Sb0.3,B,Sb,0
Cs0.7 Tm0.3,Cs,Tm,0
Rb0.7 Tm0.3,Rb,Tm,0
Yb0.7 Tm0.3,Yb,Tm,0
I0.7 Tm0.3,I,Tm,0
Ac0.7 Tm0.3,Ac,Tm,0
Ce0.7 Tm0.3,Ce,Tm,0
Nd0.7 Tm0.3,Nd,Tm,0
Te0.7 Tm0.3,Te,Tm,0
Y0.7 Tm0.3,Y,Tm,0
Tb0.7 Tm0.3,Tb,Tm,0
Dy0.7 Tm0.3,Dy,Tm,0
Sb0.7 Tm0.3,Sb,Tm,0
Lu0.7 Tm0.3,Lu,Tm,0
Tl0.7 Tm0.3,Tl,Tm,0
P0.7 Tm0.3,P,Tm,0
Mg0.7 Tm0.3,Mg,Tm,1
As0.7 Tm0.3,As,Tm,0
Cd0.7 Tm0.3,Cd,Tm,0
Np0.7 Tm0.3,Np,Tm,0
Ti0.7 Tm0.3,Ti,Tm,0
Zn0.7 Tm0.3,Zn,Tm,0
Re0.7 Tm0.3,Re,Tm,0
Pd0.7 Tm0.3,Pd,Tm,0
Tc0.7 Tm0.3,Tc,Tm,0
Ir0.7 Tm0.3,Ir,Tm,0
Rh0.7 Tm0.3,Rh,Tm,0
Ru0.7 Tm0.3,Ru,Tm,0
Mn0.7 Tm0.3,Mn,Tm,0
Cu0.7 Tm0.3,Cu,Tm,0
Be0.7 Tm0.3,Be,Tm,0
B0.7 Tm0.3,B,Tm,0
Ne0.7 Lu0.3,Ne,Lu,0
K0.7 Lu0.3,K,Lu,0
Ca0.7 Lu0.3,Ca,Lu,0
Ar0.7 Lu0.3,Ar,Lu,0
Ce0.7 Lu0.3,Ce,Lu,0
Th0.7 Lu0.3,Th,Lu,0
Tb0.7 Lu0.3,Tb,Lu,0
Sb0.7 Lu0.3,Sb,Lu,0
Se0.7 Lu0.3,Se,Lu,0
S0.7 Lu0.3,S,Lu,0
Sn0.7 Lu0.3,Sn,Lu,1
Hg0.7 Lu0.3,Hg,Lu,0
Cd0.7 Lu0.3,Cd,Lu,0
U0.7 Lu0.3,U,Lu,0
Ta0.7 Lu0.3,Ta,Lu,0
Ti0.7 Lu0.3,Ti,Lu,0
Mo0.7 Lu0.3,Mo,Lu,0
Re0.7 Lu0.3,Re,Lu,0
V0.7 Lu0.3,V,Lu,0
Mn0.7 Lu0.3,Mn,Lu,0
Ni0.7 Lu0.3,Ni,Lu,0
Cs0.7 Tl0.3,Cs,Tl,0
Ba0.7 Tl0.3,Ba,Tl,1
Sr0.7 Tl0.3,Sr,Tl,1
Eu0.7 Tl0.3,Eu,Tl,1
Br0.7 Tl0.3,Br,Tl,0
Na0.7 Tl0.3,Na,Tl,0
Ac0.7 Tl0.3,Ac,Tl,0
Ar0.7 Tl0.3,Ar,Tl,0
Xe0.7 Tl0.3,Xe,Tl,0
Bi0.7 Tl0.3,Bi,Tl,0
Pr0.7 Tl0.3,Pr,Tl,1
Ce0.7 Tl0.3,Ce,Tl,1
Th0.7 Tl0.3,Th,Tl,1
Tb0.7 Tl0.3,Tb,Tl,1
Er0.7 Tl0.3,Er,Tl,1
Pb0.7 Tl0.3,Pb,Tl,0
Lu0.7 Tl0.3,Lu,Tl,1
P0.7 Tl0.3,P,Tl,0
Sc0.7 Tl0.3,Sc,Tl,0
Zr0.7 Tl0.3,Zr,Tl,0
As0.7 Tl0.3,As,Tl,0
Cd0.7 Tl0.3,Cd,Tl,0
Li0.7 Tl0.3,Li,Tl,0
U0.7 Tl0.3,U,Tl,0
Si0.7 Tl0.3,Si,Tl,0
Ga0.7 Tl0.3,Ga,Tl,0
Np0.7 Tl0.3,Np,Tl,0
Ta0.7 Tl0.3,Ta,Tl,0
Nb0.7 Tl0.3,Nb,Tl,0
Ti0.7 Tl0.3,Ti,Tl,0
Au0.7 Tl0.3,Au,Tl,1
Mo0.7 Tl0.3,Mo,Tl,0
Pd0.7 Tl0.3,Pd,Tl,1
Ir0.7 Tl0.3,Ir,Tl,0
Ru0.7 Tl0.3,Ru,Tl,0
Mn0.7 Tl0.3,Mn,Tl,0
Cr0.7 Tl0.3,Cr,Tl,0
Cu0.7 Tl0.3,Cu,Tl,0
Fe0.7 Tl0.3,Fe,Tl,0
Co0.7 Tl0.3,Co,Tl,0
Be0.7 Tl0.3,Be,Tl,0
He0.7 P0.3,He,P,0
Ne0.7 P0.3,Ne,P,0
Cs0.7 P0.3,Cs,P,1
Sr0.7 P0.3,Sr,P,1
I0.7 P0.3,I,P,0
Br0.7 P0.3,Br,P,0
Ce0.7 P0.3,Ce,P,1
Sm0.7 P0.3,Sm,P,0
Th0.7 P0.3,Th,P,0
Er0.7 P0.3,Er,P,0
Sn0.7 P0.3,Sn,P,0
In0.7 P0.3,In,P,0
Hg0.7 P0.3,Hg,P,0
As0.7 P0.3,As,P,0
Li0.7 P0.3,Li,P,1
U0.7 P0.3,U,P,1
Si0.7 P0.3,Si,P,1
Ga0.7 P0.3,Ga,P,0
Np0.7 P0.3,Np,P,1
Nb0.7 P0.3,Nb,P,0
Ti0.7 P0.3,Ti,P,1
Au0.7 P0.3,Au,P,0
Pt0.7 P0.3,Pt,P,1
Zn0.7 P0.3,Zn,P,1
Re0.7 P0.3,Re,P,1
Tc0.7 P0.3,Tc,P,1
Ir0.7 P0.3,Ir,P,1
Os0.7 P0.3,Os,P,1
Co0.7 P0.3,Co,P,1
Ni0.7 P0.3,Ni,P,1
C0.7 P0.3,C,P,0
B0.7 P0.3,B,P,0
He0.7 Se0.3,He,Se,0
K0.7 Se0.3,K,Se,1
Ba0.7 Se0.3,Ba,Se,1
Sr0.7 Se0.3,Sr,Se,0
Ar0.7 Se0.3,Ar,Se,0
Bi0.7 Se0.3,Bi,Se,0
Pr0.7 Se0.3,Pr,Se,1
Ce0.7 Se0.3,Ce,Se,1
Nd0.7 Se0.3,Nd,Se,1
Sm0.7 Se0.3,Sm,Se,1
Te0.7 Se0.3,Te,Se,0
Gd0.7 Se0.3,Gd,Se,0
Dy0.7 Se0.3,Dy,Se,0
Pb0.7 Se0.3,Pb,Se,0
Tl0.7 Se0.3,Tl,Se,0
S0.7 Se0.3,S,Se,0
Hg0.7 Se0.3,Hg,Se,0
Li0.7 Se0.3,Li,Se,0
Si0.7 Se0.3,Si,Se,1
Nb0.7 Se0.3,Nb,Se,1
Mo0.7 Se0.3,Mo,Se,1
Pt0.7 Se0.3,Pt,Se,1
Ru0.7 Se0.3,Ru,Se,1
Mn0.7 Se0.3,Mn,Se,1
Cu0.7 Se0.3,Cu,Se,1
Co0.7 Se0.3,Co,Se,1
Be0.7 Se0.3,Be,Se,0
B0.7 Se0.3,B,Se,0
He0.7 S0.3,He,S,0
K0.7 S0.3,K,S,1
Ba0.7 S0.3,Ba,S,1
Yb0.7 S0.3,Yb,S,1
Br0.7 S0.3,Br,S,0
Ar0.7 S0.3,Ar,S,0
Xe0.7 S0.3,Xe,S,0
Nd0.7 S0.3,Nd,S,1
Gd0.7 S0.3,Gd,S,1
Tb0.7 S0.3,Tb,S,0
Sb0.7 S0.3,Sb,S,0
Tm0.7 S0.3,Tm,S,0
Tl0.7 S0.3,Tl,S,1
Hg0.7 S0.3,Hg,S,0
Zr0.7 S0.3,Zr,S,1
Ge0.7 S0.3,Ge,S,1
Np0.7 S0.3,Np,S,0
Ag0.7 S0.3,Ag,S,0
Al0.7 S0.3,Al,S,0
W0.7 S0.3,W,S,1
Mo0.7 S0.3,Mo,S,1
Pt0.7 S0.3,Pt,S,1
Re0.7 S0.3,Re,S,1
Tc0.7 S0.3,Tc,S,1
V0.7 S0.3,V,S,1
Ru0.7 S0.3,Ru,S,1
Co0.7 S0.3,Co,S,1
Be0.7 S0.3,Be,S,0
B0.7 S0.3,B,S,1
Kr0.7 Sn0.3,Kr,Sn,0
K0.7 Sn0.3,K,Sn,1
Br0.7 Sn0.3,Br,Sn,0
Na0.7 Sn0.3,Na,Sn,1
La0.7 Sn0.3,La,Sn,1
Ar0.7 Sn0.3,Ar,Sn,0
Pr0.7 Sn0.3,Pr,Sn,1
Ce0.7 Sn0.3,Ce,Sn,1
Pm0.7 Sn0.3,Pm,Sn,1
Gd0.7 Sn0.3,Gd,Sn,1
Y0.7 Sn0.3,Y,Sn,1
Th0.7 Sn0.3,Th,Sn,1
Tb0.7 Sn0.3,Tb,Sn,1
Pb0.7 Sn0.3,Pb,Sn,0
Tm0.7 Sn0.3,Tm,Sn,0
Tl0.7 Sn0.3,Tl,Sn,0
As0.7 Sn0.3,As,Sn,0
Cd0.7 Sn0.3,Cd,Sn,0
Li0.7 Sn0.3,Li,Sn,0
Ta0.7 Sn0.3,Ta,Sn,1
Nb0.7 Sn0.3,Nb,Sn,1
Al0.7 Sn0.3,Al,Sn,0
W0.7 Sn0.3,W,Sn,0
Pd0.7 Sn0.3,Pd,Sn,1
Ir0.7 Sn0.3,Ir,Sn,1
Os0.7 Sn0.3,Os,Sn,0
Co0.7 Sn0.3,Co,Sn,1
Be0.7 Sn0.3,Be,Sn,0
He0.7 In0.3,He,In,0
Ne0.7 In0.3,Ne,In,0
Kr0.7 In0.3,Kr,In,0
K0.7 In0.3,K,In,1
Sr0.7 In0.3,Sr,In,1
La0.7 In0.3,La,In,1
Ac0.7 In0.3,Ac,In,1
Te0.7 In0.3,Te,In,0
Pm0.7 In0.3,Pm,In,1
Y0.7 In0.3,Y,In,1
Th0.7 In0.3,Th,In,1
Dy0.7 In0.3,Dy,In,1
Ho0.7 In0.3,Ho,In,1
Pb0.7 In0.3,Pb,In,0
Tl0.7 In0.3,Tl,In,0
Se0.7 In0.3,Se,In,0
S0.7 In0.3,S,In,0
Sn0.7 In0.3,Sn,In,0
Pa0.7 In0.3,Pa,In,1
As0.7 In0.3,As,In,0
Li0.7 In0.3,Li,In,1
U0.7 In0.3,U,In,1
Au0.7 In0.3,Au,In,1
Zn0.7 In0.3,Zn,In,0
Os0.7 In0.3,Os,In,0
Mn0.7 In0.3,Mn,In,0
Cu0.7 In0.3,Cu,In,0
Co0.7 In0.3,Co,In,1
Ni0.7 In0.3,Ni,In,0
B0.7 In0.3,B,In,0
