formulaA,formulaB,formulaA_elements_AtomicVolume,formulaB_elements_AtomicVolume,formulaA_elements_AtomicWeight,formulaB_elements_AtomicWeight,formulaA_elements_BoilingT,formulaB_elements_BoilingT,formulaA_elements_BulkModulus,formulaB_elements_BulkModulus,formulaA_elements_Column,formulaB_elements_Column,formulaA_elements_CovalentRadius,formulaB_elements_CovalentRadius,formulaA_elements_Density,formulaB_elements_Density,formulaA_elements_ElectronSurfaceDensityWS,formulaB_elements_ElectronSurfaceDensityWS,formulaA_elements_Electronegativity,formulaB_elements_Electronegativity,formulaA_elements_FirstIonizationEnergy,formulaB_elements_FirstIonizationEnergy,formulaA_elements_GSbandgap,formulaB_elements_GSbandgap,formulaA_elements_GSenergy_pa,formulaB_elements_GSenergy_pa,formulaA_elements_GSestBCClatcnt,formulaB_elements_GSestBCClatcnt,formulaA_elements_GSestFCClatcnt,formulaB_elements_GSestFCClatcnt,formulaA_elements_GSmagmom,formulaB_elements_GSmagmom,formulaA_elements_GSvolume_pa,formulaB_elements_GSvolume_pa,formulaA_elements_HHIp,formulaB_elements_HHIp,formulaA_elements_HHIr,formulaB_elements_HHIr,formulaA_elements_HeatCapacityMass,formulaB_elements_HeatCapacityMass,formulaA_elements_HeatCapacityMolar,formulaB_elements_HeatCapacityMolar,formulaA_elements_HeatFusion,formulaB_elements_HeatFusion,formulaA_elements_ICSDVolume,formulaB_elements_ICSDVolume,formulaA_elements_IsAlkali,formulaB_elements_IsAlkali,formulaA_elements_IsDBlock,formulaB_elements_IsDBlock,formulaA_elements_IsFBlock,formulaB_elements_IsFBlock,formulaA_elements_IsMetal,formulaB_elements_IsMetal,formulaA_elements_IsMetalloid,formulaB_elements_IsMetalloid,formulaA_elements_IsNonmetal,formulaB_elements_IsNonmetal,formulaA_elements_MeltingT,formulaB_elements_MeltingT,formulaA_elements_MendeleevNumber,formulaB_elements_MendeleevNumber,formulaA_elements_MiracleRadius,formulaB_elements_MiracleRadius,formulaA_elements_NUnfilled,formulaB_elements_NUnfilled,formulaA_elements_NValance,formulaB_elements_NValance,formulaA_elements_NdUnfilled,formulaB_elements_NdUnfilled,formulaA_elements_NdValence,formulaB_elements_NdValence,formulaA_elements_NfUnfilled,formulaB_elements_NfUnfilled,formulaA_elements_NfValence,formulaB_elements_NfValence,formulaA_elements_NpUnfilled,formulaB_elements_NpUnfilled,formulaA_elements_NpValence,formulaB_elements_NpValence,formulaA_elements_NsUnfilled,formulaB_elements_NsUnfilled,formulaA_elements_NsValence,formulaB_elements_NsValence,formulaA_elements_Number,formulaB_elements_Number,formulaA_elements_Polarizability,formulaB_elements_Polarizability,formulaA_elements_Row,formulaB_elements_Row,formulaA_elements_ShearModulus,formulaB_elements_ShearModulus,formulaA_elements_SpaceGroupNumber,formulaB_elements_SpaceGroupNumber,avg_coordination_A,avg_coordination_B,avg_nearest_neighbor_distance_A,avg_nearest_neighbor_distance_B,stabilityVec
Pb,Ho,30.34142301,31.14037991,207.2,164.93032,2022.0,2973.0,46.0,40.0,14,3,146,192,11340.0,8795.0,1.15,1.22,2.33,1.23,7.4166300000000005,6.0215,0.0,0.0,-3.62902961,-4.577416877,3.830865877,3.9465101189999996,4.826588558,4.972291172,0.0,0.0,28.11,30.73333333,2700,9500,1800,3100,0.13,0.165,24.7,27.15,4.774,11.76,30.32,31.11,0,0,0,0,0,1,1,1,0,0,0,0,600.61,1747.0,81,33,174,177,4,3,28,13,0,0,10,0,0,3,14,11,4,0,2,0,0,0,2,2,82,67,6.995,23.6,6,6,5.6,26.0,225,194,12.0,12.0,3.5745400000000003,3.4811199999999998,"[1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0]"
La,Eu,37.53064612,48.12129236,138.90547,151.964,3737.0,1800.0,28.0,8.3,3,3,207,198,6146.0,5244.0,1.18,0.88,1.1,1.185,5.5769,5.670380000000001,0.0,0.0,-4.927546185,-1.82958684,4.194456026,4.177811939,5.28468344,5.263713205,0.0,0.0,36.8975,36.46,9500,9500,3100,3100,0.195,0.182,27.11,27.66,6.2,9.21,37.42,48.53,0,0,0,0,1,1,1,1,0,0,0,0,1193.0,1095.0,13,25,187,196,9,7,3,9,9,0,1,0,0,7,0,7,0,0,0,0,0,0,2,2,57,63,31.1,27.7,6,6,14.0,7.9,194,229,12.0,12.0,3.7199800000000005,4.00957,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Tl,Ca,28.64087656,42.9371873,204.3833,40.078,1746.0,1757.0,43.0,17.0,13,2,145,176,11850.0,1550.0,1.12,0.91,1.62,1.0,6.108194,6.11316,0.0,0.0,-2.27267753,-1.948329565,3.775558738,4.2272603239999995,4.756905929,5.3260142660000005,0.0,0.0,26.91,37.77,6500,3900,6500,1500,0.129,0.647,26.32,25.929000000000002,4.1419999999999995,8.54,28.53,44.19,0,1,0,0,0,0,1,1,0,0,0,0,577.0,1115.0,76,7,172,201,5,0,27,2,0,0,10,0,0,0,14,0,5,0,1,0,0,0,2,2,81,20,7.55,25.73333333,6,4,2.8,7.4,194,225,8.0,12.0,3.4325300000000003,3.89661,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0]"
Ac,Br,37.43308629999999,42.52782532,227.0,79.904,3473.0,332.0,0.0,1.9,3,17,215,120,10070.0,3120.0,0.0,0.0,1.1,2.96,5.17,11.8138,0.0,1.4569999999999999,-4.1050022980000005,-1.5830253380000001,4.465163104,3.8921164439999996,5.625752986,4.9037594360000005,0.0,0.0,44.5125,29.48,0,3300,0,6900,0.12,0.474,27.2,75.69,12.0,5.285,37.45,65.14,0,0,0,0,1,0,1,0,0,0,0,1,1323.0,265.8,14,95,0,0,9,1,3,17,9,0,1,10,0,0,0,0,0,1,0,5,0,0,2,2,89,35,32.1,3.05,7,4,0.0,0.0,225,64,12.0,1.0,3.99462,2.38875,"[1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
S,Bi,27.16654579,35.48345908,32.065,208.9804,717.72,1837.0,7.7,31.0,16,15,105,148,1960.0,9780.0,0.0,1.16,2.58,2.02,10.36001,7.2855,2.202,0.0,-4.0972167189999995,-3.9736943999999994,3.722284555,4.039197959,4.689784663999999,5.089070533,0.0,0.0,25.786875,32.95,700,5300,1000,6000,0.708,0.122,22.7,25.52,1.7209999999999999,11.106,25.76,35.38,0,0,0,0,0,0,0,1,0,0,1,0,388.36,544.4,88,86,103,162,2,3,6,29,0,0,0,10,0,0,0,14,2,3,4,3,0,0,2,2,16,83,2.9,0.4,3,6,0.0,12.0,70,12,2.0,3.0,2.06242,3.1122099999999997,"[1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0]"
Np,K,19.24483901,75.84786468,237.0,39.0983,4273.0,1032.0,0.0,3.1,3,1,190,203,20450.0,856.0,0.0,0.65,1.36,0.82,6.2657,4.3406633,0.0,0.0,-12.94031436,-1.097539713,3.329442683,5.268200874,4.194834921,6.637517176,0.0,0.0,18.45375,73.10666667,0,1700,0,7200,0.0,0.757,0.0,29.6,3.2,2.335,19.22,75.63,0,1,0,0,1,0,1,1,0,0,0,0,917.0,336.53,22,3,175,230,19,1,7,1,9,0,1,0,10,0,4,0,0,0,0,0,0,1,2,1,93,19,24.8,43.23,7,4,0.0,1.3,62,229,4.0,8.0,2.4862599999999997,4.57083,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Ar,U,37.18428542,20.7488474,39.948,238.02891,87.2,4200.0,0.0,100.0,18,3,106,196,1.784,19050.0,0.0,1.51,0.0,1.38,15.75961,6.1941,9.26,0.0,0.05854104,-11.29233996,3.850300758,3.42137628,4.851074973,4.310663995,0.0,0.0,28.54,20.025,0,0,0,0,0.52,0.11599999999999999,20.785999999999998,27.665,1.18,9.14,36.3,21.18,0,0,0,0,0,1,0,1,0,0,1,0,83.8,1408.0,100,20,0,158,0,20,8,6,0,9,0,1,0,11,0,3,0,0,6,0,0,0,2,2,18,92,1.6411,24.9,3,7,0.0,111.0,225,63,12.0,4.0,3.98863,2.70235,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Zr,Ca,23.26594327,42.9371873,91.22399999999999,40.078,4682.0,1757.0,0.0,17.0,4,2,175,176,6511.0,1550.0,1.41,0.91,1.33,1.0,6.6339,6.11316,0.0,0.0,-8.545958555,-1.948329565,3.593145393,4.2272603239999995,4.527079516000001,5.3260142660000005,0.0,0.0,23.195,37.77,3400,3900,2600,1500,0.278,0.647,25.36,25.929000000000002,21.0,8.54,23.29,44.19,0,1,1,0,0,0,1,1,0,0,0,0,2128.0,1115.0,44,7,158,201,8,0,4,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,40,20,17.9,25.73333333,5,4,33.0,7.4,194,225,12.0,12.0,3.1914700000000003,3.89661,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
B,Xe,7.297767265,36.95292402,10.811,131.293,4273.0,165.0,320.0,0.0,13,18,84,140,2460.0,5.9,1.75,0.0,2.04,2.6,8.29802,12.12984,1.524,6.456,-6.677698154,0.04873128,2.429779429,4.751892136,3.0613302489999996,5.987008929,0.0,0.0,7.1725,53.65,2900,0,2000,0,1.026,0.158,11.087,20.785999999999998,50.2,2.27,7.75,57.83,0,0,0,0,0,0,0,0,1,0,0,1,2348.0,161.3,72,102,88,0,5,0,3,18,0,0,0,10,0,0,0,0,5,0,1,6,0,0,2,2,5,54,3.03,4.044,2,5,0.0,0.0,166,225,5.5,12.0,1.7253599999999998,4.85032,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Sm,P,33.95681901,28.21412182,150.36,30.973762,2076.0,553.5,38.0,11.0,3,15,198,107,7353.0,1823.0,1.21,1.65,1.17,2.19,5.6437,10.48669,0.0,1.625,-4.713379635,-5.400509043,4.050607032,3.560590636,5.103445064,4.486063093,0.0,0.0,33.23,22.5702381,9500,2000,3100,5100,0.196,0.769,29.54,23.824,8.62,18.54,33.14,18.99,0,0,0,0,1,0,1,0,0,0,0,1,1345.0,317.3,23,83,185,102,8,3,8,5,0,0,0,0,8,0,6,0,0,3,0,3,0,0,2,2,62,15,28.8,3.63,6,3,20.0,0.0,166,2,12.0,3.0,3.61456,2.2137700000000002,"[1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0]"
Kr,U,37.10749474,20.7488474,83.79799999999999,238.02891,119.78,4200.0,0.0,100.0,18,3,116,196,3.75,19050.0,0.0,1.51,3.0,1.38,13.99961,6.1941,7.535,0.0,0.08753524,-11.29233996,4.162477568,3.42137628,5.244393107,4.310663995,0.0,0.0,36.06,20.025,0,0,0,0,0.248,0.11599999999999999,20.785999999999998,27.665,1.1640000000000001,9.14,44.81,21.18,0,0,0,0,0,1,0,1,0,0,1,0,115.79,1408.0,101,20,0,158,0,20,18,6,0,9,10,1,0,11,0,3,0,0,6,0,0,0,2,2,36,92,2.4844,24.9,4,7,0.0,111.0,225,63,12.0,4.0,4.5936900000000005,2.70235,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
U,Th,20.7488474,32.86568321,238.02891,232.03806,4200.0,5093.0,100.0,54.0,3,3,196,206,19050.0,11724.0,1.51,1.28,1.38,1.3,6.1941,6.3067,0.0,0.0,-11.29233996,-7.41254306,3.42137628,4.015357627,4.310663995,5.059033597,0.0,0.0,20.025,32.37,0,0,0,0,0.11599999999999999,0.11800000000000001,27.665,27.32,9.14,13.81,21.18,32.86,0,0,0,0,1,1,1,1,0,0,0,0,1408.0,2023.0,20,16,158,178,20,8,6,4,9,8,1,2,11,0,3,0,0,0,0,0,0,0,2,2,92,90,24.9,32.1,7,7,111.0,31.0,63,225,4.0,12.0,2.70235,3.5605900000000004,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Pm,Ho,33.14754856,31.14037991,145.0,164.93032,3273.0,2973.0,33.0,40.0,3,3,199,192,7264.0,8795.0,1.21,1.22,1.155,1.23,5.582000000000001,6.0215,0.0,0.0,-4.744621343,-4.577416877,4.075342789,3.9465101189999996,5.134610166,4.972291172,0.0,0.0,33.8425,30.73333333,9500,9500,3100,3100,0.0,0.165,0.0,27.15,0.0,11.76,33.67,31.11,0,0,0,0,1,1,1,1,0,0,0,0,1373.0,1747.0,21,33,185,177,9,3,7,13,0,0,0,0,9,3,5,11,0,0,0,0,0,0,2,2,61,67,30.1,23.6,6,6,18.0,26.0,194,194,12.0,12.0,3.6390800000000003,3.4811199999999998,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Au,Ba,16.94706362,64.96928167,196.966569,137.327,3129.0,2143.0,220.0,9.6,11,2,136,215,19300.0,3510.0,1.57,0.81,2.54,0.89,9.225530000000001,5.211664,0.0,0.0,-3.20969261,-1.92352226,3.2204420519999997,5.028899311,4.0575027310000005,6.336016099999999,0.0,0.0,16.7,63.59,1100,3000,1000,2300,0.129,0.204,25.418000000000003,28.07,12.55,7.12,16.96,62.88,0,1,1,0,0,0,1,1,0,0,0,0,1337.33,1000.0,66,9,143,223,1,0,25,2,0,0,10,0,0,0,14,0,0,0,0,0,1,0,1,2,79,56,5.8,39.7,6,6,27.0,4.9,225,229,12.0,8.0,2.94955,4.35637,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0]"
Sm,C,33.95681901,8.825089715,150.36,12.0107,2076.0,4300.0,38.0,33.0,3,14,198,76,7353.0,2260.0,1.21,1.77,1.17,2.55,5.6437,11.2603,0.0,4.496,-4.713379635,-9.209713655,4.050607032,2.242692341,5.103445064,2.825615289,0.0,0.0,33.23,5.64,9500,500,3100,500,0.196,0.7090000000000001,29.54,8.517000000000001,8.62,117.4,33.14,5.67,0,0,0,0,1,0,1,0,0,0,0,1,1345.0,3823.0,23,77,185,77,8,4,8,4,0,0,0,0,8,0,6,0,0,4,0,2,0,0,2,2,62,6,28.8,1.67,6,2,20.0,0.0,166,194,12.0,3.0,3.61456,1.4240899999999999,"[1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Ho,Al,31.14037991,16.59442452,164.93032,26.9815386,2973.0,2792.0,40.0,76.0,3,13,192,121,8795.0,2700.0,1.22,1.39,1.23,1.61,6.0215,5.985768,0.0,0.0,-4.577416877,-3.74542312,3.9465101189999996,3.2062378330000003,4.972291172,4.039606536,0.0,0.0,30.73333333,16.48,9500,1600,3100,1000,0.165,0.897,27.15,24.2,11.76,10.71,31.11,16.61,0,0,0,0,1,0,1,1,0,0,0,0,1747.0,933.47,33,73,177,141,3,5,13,3,0,0,0,0,3,0,11,0,0,5,0,1,0,0,2,2,67,13,23.6,6.8,6,3,26.0,26.0,194,225,12.0,12.0,3.4811199999999998,2.85595,"[1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0]"
Ga,P,19.61051348,28.21412182,69.723,30.973762,2477.0,553.5,0.0,11.0,13,15,122,107,5904.0,1823.0,1.31,1.65,1.81,2.19,5.999301,10.48669,0.0,1.625,-3.0122553030000003,-5.400509043,3.353549368,3.560590636,4.225207441,4.486063093,0.0,0.0,18.8575,22.5702381,5500,2000,1900,5100,0.373,0.769,26.03,23.824,5.585,18.54,19.6,18.99,0,0,0,0,0,0,1,0,0,0,0,1,302.91,317.3,74,83,134,102,5,3,13,5,0,0,10,0,0,0,0,0,5,3,1,3,0,0,2,2,31,15,8.12,3.63,4,3,0.0,0.0,64,2,5.0,3.0,2.53355,2.2137700000000002,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0]"
Ag,K,17.07564795,75.84786468,107.8682,39.0983,2435.0,1032.0,100.0,3.1,11,1,145,203,10490.0,856.0,1.36,0.65,1.93,0.82,7.576230000000001,4.3406633,0.0,0.0,-2.76539356,-1.097539713,3.1964805060000003,5.268200874,4.027313073999999,6.637517176,0.0,0.0,16.33,73.10666667,1200,1700,1400,7200,0.235,0.757,25.35,29.6,11.3,2.335,17.05,75.63,0,1,1,0,0,0,1,1,0,0,0,0,1234.93,336.53,65,3,144,230,1,1,11,1,0,0,10,0,0,0,0,0,0,0,0,0,1,1,1,1,47,19,6.99,43.23,5,4,30.0,1.3,225,229,12.0,8.0,2.94195,4.57083,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0]"
Pt,Se,15.36046351,27.20880463,195.084,78.96,4098.0,958.0,230.0,8.3,10,16,136,120,21090.0,4819.0,1.78,0.0,2.28,2.55,8.9588,9.75239,0.0,0.799,-6.02850968,-3.47079191,3.108612885,3.7286790069999998,3.91660681,4.697841169,0.0,0.0,15.02,25.92,5500,2200,9100,6000,0.133,0.321,25.86,25.363000000000003,22.175,6.69,15.1,29.81,0,0,1,0,0,0,1,0,0,0,0,1,2041.4,494.0,63,89,139,118,2,2,24,16,1,0,9,10,0,0,14,0,0,2,0,4,1,0,1,2,78,34,6.5,3.77,6,4,61.0,3.7,225,14,12.0,2.0,2.812,2.364,"[1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0]"
K,Ta,75.84786468,18.04672956,39.0983,180.94788,1032.0,5731.0,3.1,200.0,1,5,203,170,856.0,16650.0,0.65,1.63,0.82,1.5,4.3406633,7.54957,0.0,0.0,-1.097539713,-11.85139954,5.268200874,3.309248619,6.637517176,4.169391995,0.0,0.0,73.10666667,18.12,1700,2300,7200,4800,0.757,0.14,29.6,25.36,2.335,36.57,75.63,17.65,1,0,0,1,0,0,1,1,0,0,0,0,336.53,3290.0,3,48,230,145,1,7,1,19,0,7,0,3,0,0,0,14,0,0,0,0,1,0,1,2,19,73,43.23,13.1,4,6,1.3,69.0,229,229,8.0,8.0,4.57083,2.8727,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Ni,Fe,10.94128444,11.77736497,58.6934,55.845,3186.0,3134.0,180.0,170.0,10,8,124,132,8908.0,7874.0,1.75,1.77,1.91,1.83,7.6398,7.9024,0.0,0.0,-5.54632457,-8.28548436,2.74306794,2.7789233789999996,3.456049039,3.501224062,0.5953946999999999,2.1106627999999996,10.32,10.73,1000,2400,1500,1400,0.444,0.449,26.07,25.1,17.48,13.81,10.86,11.78,0,0,1,1,0,0,1,1,0,0,0,0,1728.0,1811.0,61,55,126,125,2,4,10,8,2,4,8,6,0,0,0,0,0,0,0,0,0,0,2,2,28,26,6.8,8.4,4,4,76.0,82.0,225,229,12.0,8.0,2.4805599999999997,2.46654,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0]"
Sr,Xe,55.32313078,36.95292402,87.62,131.293,1655.0,165.0,0.0,0.0,2,18,195,140,2630.0,5.9,0.84,0.0,0.95,2.6,5.69485,12.12984,0.0,6.456,-1.6828136000000002,0.04873128,4.768954732,4.751892136,6.008506453,5.987008929,0.0,0.0,54.23,53.65,4200,0,3000,0,0.306,0.158,26.79,20.785999999999998,7.43,2.27,56.08,57.83,1,0,0,0,0,0,1,0,0,0,0,1,1050.0,161.3,8,102,212,0,0,0,2,18,0,0,0,10,0,0,0,0,0,0,0,6,0,0,2,2,38,54,25.55,4.044,5,5,6.1,0.0,225,225,12.0,12.0,4.26546,4.85032,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Sr,C,55.32313078,8.825089715,87.62,12.0107,1655.0,4300.0,0.0,33.0,2,14,195,76,2630.0,2260.0,0.84,1.77,0.95,2.55,5.69485,11.2603,0.0,4.496,-1.6828136000000002,-9.209713655,4.768954732,2.242692341,6.008506453,2.825615289,0.0,0.0,54.23,5.64,4200,500,3000,500,0.306,0.7090000000000001,26.79,8.517000000000001,7.43,117.4,56.08,5.67,1,0,0,0,0,0,1,0,0,0,0,1,1050.0,3823.0,8,77,212,77,0,4,2,4,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,2,38,6,25.55,1.67,5,2,6.1,0.0,225,194,12.0,3.0,4.26546,1.4240899999999999,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
B,As,7.297767265,21.72396574,10.811,74.9216,4273.0,887.0,320.0,22.0,13,15,84,119,2460.0,5727.0,1.75,1.44,2.04,2.18,8.29802,9.7886,1.524,0.0,-6.677698154,-4.650889115,2.429779429,3.539684396,3.0613302489999996,4.459722881,0.0,0.0,7.1725,22.175,2900,3300,2000,4000,1.026,0.32899999999999996,11.087,24.64,50.2,24.44,7.75,21.52,0,0,0,0,0,0,0,1,1,1,0,0,2348.0,1090.0,72,84,88,115,5,3,3,15,0,0,0,10,0,0,0,0,5,3,1,3,0,0,2,2,5,33,3.03,4.31,2,4,0.0,0.0,166,166,5.5,3.0,1.7253599999999998,2.5579,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0]"
Yb,Cs,43.73967194,117.4560158,173.054,132.9054519,1469.0,944.0,31.0,1.6,3,1,187,244,6570.0,1879.0,0.92,0.55,1.26,0.79,6.25416,3.893905,0.0,0.0,-1.47410408,-0.85462646,4.0864514110000005,6.140481453,5.148606152,7.736521839,0.0,0.0,34.12,115.765,9500,6000,3100,6000,0.155,0.242,26.74,32.21,7.66,2.09,41.17,67.55,0,1,0,0,1,0,1,1,0,0,0,0,1092.0,301.59,39,5,190,264,0,1,16,1,0,0,0,0,0,0,14,0,0,0,0,0,0,1,2,1,70,55,20.9,59.42,6,6,9.9,0.0,225,229,12.0,8.0,3.8532,5.32395,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Kr,Pr,37.10749474,35.23917573,83.79799999999999,140.90765,119.78,3563.0,0.0,29.0,18,3,116,203,3.75,6640.0,0.0,1.2,3.0,1.13,13.99961,5.473,7.535,0.0,0.08753524,-4.77382996,4.162477568,4.14761076,5.244393107,5.225662103,0.0,0.0,36.06,35.675,0,9500,0,3100,0.248,0.193,20.785999999999998,27.2,1.1640000000000001,6.89,44.81,34.5,0,0,0,0,0,1,0,1,0,0,1,0,115.79,1204.0,101,17,0,183,0,11,18,5,0,0,10,0,0,11,0,3,0,0,6,0,0,0,2,2,36,59,2.4844,28.2,4,6,0.0,15.0,225,194,12.0,12.0,4.5936900000000005,3.70191,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Fe,Sb,11.77736497,30.19142344,55.845,121.76,3134.0,1860.0,170.0,42.0,8,15,132,139,7874.0,6697.0,1.77,1.26,1.83,2.05,7.9024,8.60839,0.0,0.0,-8.28548436,-4.11736234,2.7789233789999996,3.981581991,3.501224062,5.016478962,2.1106627999999996,0.0,10.73,31.56,2400,7900,1400,3400,0.449,0.207,25.1,25.23,13.81,19.79,11.78,30.21,0,0,1,0,0,0,1,1,0,1,0,0,1811.0,903.78,55,85,125,155,4,3,8,15,4,0,6,10,0,0,0,0,0,3,0,3,0,0,2,2,26,51,8.4,6.6,4,5,82.0,20.0,229,166,8.0,3.0,2.46654,2.9544900000000003,"[1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Dy,He,31.55699985,37.23603556,162.5,4.0026019999999995,2840.0,4.07,41.0,0.0,3,18,192,28,8551.0,0.1785,1.22,0.0,1.22,0.0,5.9389,24.587387,0.0,18.098,-4.601554453,0.0011354000000000002,3.9680792780000003,2.908733088,4.99946661,3.6647740460000002,0.0,0.0,31.24,12.305,9500,3200,3100,3900,0.17300000000000001,5.13,28.16,20.785999999999998,11.35,0.0,31.6,19.08,0,0,0,0,1,0,1,0,0,0,0,1,1685.0,0.0,31,98,175,0,4,0,12,2,0,0,0,0,4,0,10,0,0,0,0,0,0,0,2,2,66,2,24.5,0.2050522,6,1,25.0,0.0,194,225,12.0,8.0,3.52006,2.73717,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
He,Se,37.23603556,27.20880463,4.0026019999999995,78.96,4.07,958.0,0.0,8.3,18,16,28,120,0.1785,4819.0,0.0,0.0,0.0,2.55,24.587387,9.75239,18.098,0.799,0.0011354000000000002,-3.47079191,2.908733088,3.7286790069999998,3.6647740460000002,4.697841169,0.0,0.0,12.305,25.92,3200,2200,3900,6000,5.13,0.321,20.785999999999998,25.363000000000003,0.0,6.69,19.08,29.81,0,0,0,0,0,0,0,0,0,0,1,1,0.0,494.0,98,89,0,118,0,2,2,16,0,0,0,10,0,0,0,0,0,2,0,4,0,0,2,2,2,34,0.2050522,3.77,1,4,0.0,3.7,225,14,8.0,2.0,2.73717,2.364,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Ag,Co,17.07564795,10.99586068,107.8682,58.933195,2435.0,3200.0,100.0,180.0,11,9,145,126,10490.0,8900.0,1.36,1.75,1.93,1.88,7.576230000000001,7.881010000000001,0.0,0.0,-2.76539356,-7.080389145,3.1964805060000003,2.7364067480000003,4.027313073999999,3.447656463,0.0,1.5484712,16.33,10.245,1200,3100,1400,2700,0.235,0.42100000000000004,25.35,24.81,11.3,16.2,17.05,11.12,0,0,1,1,0,0,1,1,0,0,0,0,1234.93,1768.0,65,58,144,125,1,3,11,9,0,3,10,7,0,0,0,0,0,0,0,0,1,0,1,2,47,27,6.99,7.5,5,4,30.0,75.0,225,194,12.0,12.0,2.94195,2.4802400000000002,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Dy,Nb,31.55699985,18.00213298,162.5,92.90638,2840.0,5017.0,41.0,170.0,3,5,192,164,8551.0,8570.0,1.22,1.64,1.22,1.6,5.9389,6.75885,0.0,0.0,-4.601554453,-10.09332153,3.9680792780000003,3.312897187,4.99946661,4.173988903,0.0,0.0,31.24,18.18,9500,8500,3100,8800,0.17300000000000001,0.265,28.16,24.6,11.35,30.0,31.6,18.15,0,0,0,1,1,0,1,1,0,0,0,0,1685.0,2750.0,31,47,175,143,4,7,12,5,0,6,0,4,4,0,10,0,0,0,0,0,0,1,2,1,66,41,24.5,15.7,6,5,25.0,38.0,194,229,12.0,8.0,3.52006,2.87565,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Ir,Sc,14.14855047,25.00931092,192.217,44.955912,4701.0,3103.0,320.0,57.0,9,3,141,170,22560.0,2985.0,1.83,1.27,2.2,1.36,8.96702,6.561489999999999,0.0,0.0,-8.84851145,-6.28551309,3.051696628,3.5428740210000003,3.84489682,4.463741557,0.0,6.35e-06,14.21,22.235,5500,5500,9100,4500,0.131,0.568,25.1,25.52,41.12,14.1,13.88,24.96,0,0,1,1,0,0,1,1,0,0,0,0,2739.0,1814.0,60,11,136,162,3,9,23,3,3,9,7,1,0,0,14,0,0,0,0,0,0,0,2,2,77,21,7.6,17.8,6,4,210.0,29.0,225,194,12.0,12.0,2.74055,3.21375,"[1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0]"
